variant,type,id,shot_id,start_seconds,end_seconds,start_frame,end_frame_exclusive,last_frame,start_timecode,end_timecode_exclusive,description,authoritative_passes,optional_ai_passes
progress,shot,heliopause,heliopause,20,27,480,648,647,00:00:20:00,00:00:27:00,Known sunlight thins and the route becomes the only stable coordinate.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|dust-matte-3d,ai-deep-field|ai-dust-volume
progress,shot,warp,warp,27,38,648,912,911,00:00:27:00,00:00:38:00,The projection uses earned coordinates to fold distance without inventing new destinations.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|warp-matte-3d,ai-deep-field|ai-warp-caustics
progress,shot,black-hole,black-hole,38,48,912,1152,1151,00:00:38:00,00:00:48:00,The last known light bends around a destination the map cannot name.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|accretion-matte-3d,ai-deep-field|ai-accretion-glow
progress,narration,map-has-no-word,black-hole,39.4,46.8,946,1123,1122,00:00:39:10,00:00:46:19,"Beyond the last light, the map has no word for what comes next.",,
progress,shot,singularity,singularity,48,53,1152,1272,1271,00:00:48:00,00:00:53:00,The mission projection reaches its data boundary and either collapses or resolves according to the earned variant.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|singularity-matte-3d,ai-singularity-corona
progress,shot,return,return,53,57,1272,1368,1367,00:00:53:00,00:00:57:00,The unresolved projection folds back to Earth and hands agency to the player: make the route.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d,ai-deep-field
progress,narration,make-one,return,54,56.4,1296,1354,1353,00:00:54:00,00:00:56:10,So we will make one.,,
completion,shot,earth,earth,0,7,0,168,167,00:00:00:00,00:00:07:00,The projection wakes over Earth and establishes the player-sized rocket against a reachable world.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|dust-matte-3d,ai-deep-field|ai-dust-volume
completion,narration,understanding-makes-reachable,earth,1,6.2,24,149,148,00:00:01:00,00:00:06:05,Every world we understand becomes somewhere we can reach.,,
completion,shot,solar,solar,7,20,168,480,479,00:00:07:00,00:00:20:00,The rocket crosses the known solar worlds; completed coordinates materialize while future planets remain distant.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|dust-matte-3d,ai-deep-field|ai-dust-volume
completion,narration,discovery-makes-coordinate,solar,8.4,14.2,202,341,340,00:00:08:10,00:00:14:05,Every discovery gives the voyage another coordinate.,,
completion,shot,heliopause,heliopause,20,27,480,648,647,00:00:20:00,00:00:27:00,Known sunlight thins and the route becomes the only stable coordinate.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|dust-matte-3d,ai-deep-field|ai-dust-volume
completion,shot,warp,warp,27,38,648,912,911,00:00:27:00,00:00:38:00,The projection uses earned coordinates to fold distance without inventing new destinations.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|warp-matte-3d,ai-deep-field|ai-warp-caustics
completion,shot,black-hole,black-hole,38,48,912,1152,1151,00:00:38:00,00:00:48:00,The last known light bends around a destination the map cannot name.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d|accretion-matte-3d,ai-deep-field|ai-accretion-glow
completion,narration,map-has-no-word,black-hole,39.4,46.8,946,1123,1122,00:00:39:10,00:00:46:19,"Beyond the last light, the map has no word for what comes next.",,
completion,shot,singularity,singularity,48,53,1152,1272,1271,00:00:48:00,00:00:53:00,The mission projection reaches its data boundary and either collapses or resolves according to the earned variant.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|singularity-matte-3d,ai-singularity-corona
completion,shot,beyond,beyond,53,57,1272,1368,1367,00:00:53:00,00:00:57:00,The completed projection continues beyond the old boundary into a still-unnamed field without declaring the journey finished.,beauty-3d|depth-3d|normal-3d|motion-vector-3d|object-id-3d|far-field-matte-3d,ai-beyond-color-field
